Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time (seconds),Moving Time (seconds),Distance (meters),Max Speed,Average Speed,Elevation Gain (meters),Calories,Average Temperature
14665274090,"May 27, 2025, 5:51:00 PM",Morning Ride,Ride,7285,6057.0,15117.599609375,7.633333206176760,2.4958889484405500,458.39599609375,1916.0,21.0
14665274120,"May 28, 2025, 5:09:24 PM",Morning Ride,Ride,11689,10195.0,32062.099609375,7.842857360839840,3.1448848247528100,610.3033447265630,3096.0,20.0
14665274122,"May 25, 2025, 8:28:58 PM",Afternoon Ride,Ride,7253,6951.0,18419.099609375,9.133333206176760,2.6498489379882800,489.3326110839840,1967.0,21.0
14665274139,"May 30, 2025, 3:52:38 PM",Morning Ride,Ride,11566,9442.0,28622.900390625,10.739999771118200,3.031444549560550,575.8427124023440,3204.0,23.0
14665274265,"May 8, 2025, 10:28:40 PM",Afternoon Ride,Ride,3863,3294.0,9818.5,10.100000381469700,2.980722427368160,191.98690795898400,1117.0,23.0
14665274269,"May 19, 2025, 8:41:00 PM",Afternoon Ride,Ride,6032,5214.0,16876.80078125,10.539999961853000,3.2368240356445300,434.375,1714.0,26.0
14665274270,"May 13, 2025, 10:38:21 PM",Afternoon Ride,Ride,5701,5394.0,16845.0,10.739999771118200,3.1229143142700200,434.26556396484400,1653.0,17.0
14665274275,"May 7, 2025, 10:12:24 PM",Afternoon Ride,Ride,5826,5236.0,16875.099609375,10.5,3.2228991985321000,434.5027770996090,1682.0,21.0
14665274286,"May 14, 2025, 5:11:17 PM",Morning Ride,Ride,10954,9288.0,28696.30078125,10.239999771118200,3.0896103382110600,579.7083129882810,3117.0,18.0
14665274296,"May 10, 2025, 3:16:11 PM",Morning Ride,Ride,7537,6896.0,18511.599609375,9.4399995803833,2.684396743774410,513.2177734375,1991.0,28.0
14665274298,"May 24, 2025, 6:01:35 PM",Lunch Ride,Ride,5576,5331.0,16849.30078125,10.100000381469700,3.1606264114379900,434.98260498046900,1616.0,20.0
14665274306,"May 18, 2025, 7:17:16 PM",Lunch Ride,E-Bike Ride,8638,7657.0,30029.69921875,9.183333396911620,3.9218623638153100,904.5507202148440,1790.0,17.0
14665274334,"Apr 30, 2025, 8:20:02 PM",Afternoon Ride,Ride,13479,12173.0,37712.6015625,11.5600004196167,3.098052978515630,799.0040893554690,3957.0,19.0
14665379658,"Apr 25, 2025, 9:40:59 PM",Afternoon Ride,Ride,3612,2495.0,7793.7001953125,6.416666507720950,3.123727560043340,107.65833282470700,1791.0,
14665379662,"Apr 29, 2025, 7:55:52 PM",Lunch Ride,Ride,6453,6343.0,20719.5,11.020000457763700,3.266514301300050,546.0608520507810,1958.0,22.0
14665379668,"Apr 26, 2025, 4:39:37 PM",Morning Ride,Ride,11632,6372.0,12481.599609375,9.133333206176760,1.95881986618042,248.28207397460900,2534.0,
14665379675,"Apr 27, 2025, 3:47:40 PM",Morning Ride,Ride,7026,5389.0,13861.0,6.099999904632570,2.5720913410186800,273.6016540527340,1825.0,11.0
14665379680,"Apr 26, 2025, 8:27:34 PM",Afternoon Ride,Ride,4573,3363.0,9443.7998046875,7.785714149475100,2.808147430419920,153.07492065429700,1326.0,20.0
14665379694,"Apr 21, 2025, 10:08:19 PM",Afternoon Ride,Ride,6690,6553.0,20746.099609375,10.039999961853000,3.1658935546875,546.7144165039060,1981.0,21.0
14665379706,"Apr 25, 2025, 5:17:31 PM",Morning Ride,Ride,9210,5749.0,19409.400390625,21.479999542236300,3.3761348724365200,306.93572998046900,2745.0,
14665379713,"Apr 22, 2025, 8:39:09 PM",Afternoon Ride,Ride,7747,6877.0,18336.599609375,9.142857551574710,2.6663661003112800,487.80487060546900,2104.0,20.0
14665379913,"Apr 19, 2025, 4:19:50 PM",Morning Ride,Ride,8333,7486.0,21974.599609375,9.920000076293950,2.9354262351989700,593.206298828125,2282.0,17.0
14665379915,"Apr 9, 2025, 4:40:12 PM",Morning Ride,Ride,7432,6839.0,21034.099609375,9.666666984558110,3.075610399246220,548.1015625,2054.0,23.0
14665379920,"Apr 14, 2025, 8:42:51 PM",Afternoon Ride,Ride,8433,3721.0,12588.599609375,11.300000190734900,3.3831229209899900,320.4183349609380,1949.0,18.0
14665379939,"Apr 20, 2025, 11:20:28 PM",Afternoon Ride,Ride,5344,5111.0,16882.599609375,9.816666603088380,3.303189277648930,434.1239318847660,1658.0,21.0
14665379941,"Apr 12, 2025, 8:56:35 PM",Afternoon Ride,Ride,4407,4043.0,11503.2001953125,7.110000133514400,2.8452138900756800,175.71714782714800,1217.0,23.0
14665379949,"Apr 8, 2025, 8:58:41 PM",Afternoon Ride,Ride,6429,5399.0,14219.2001953125,9.479999542236330,2.6336729526519800,392.8560791015630,1587.0,25.0
14665379956,"Apr 13, 2025, 8:59:00 PM",Afternoon Ride,Ride,8506,7740.0,27029.5,7.2833333015441900,3.4921834468841600,280.5088195800780,2696.0,20.0
14665389760,"Apr 1, 2025, 10:02:58 PM",Afternoon Ride,Ride,2590,2379.0,8655.7001953125,17.46666717529300,3.6383774280548100,161.93833923339800,833.0,14.0
14665389792,"Mar 30, 2025, 7:04:46 PM",Lunch Ride,Ride,5870,5416.0,18469.69921875,8.233333587646480,3.410210371017460,324.7835693359380,1698.0,17.0
14665389795,"Apr 5, 2025, 6:58:16 PM",Lunch Ride,Ride,8960,6857.0,12694.5,6.420000076293950,1.8513197898864700,400.5162048339840,2233.0,12.0
14665389799,"Mar 27, 2025, 8:35:48 PM",Afternoon Ride,Ride,10505,9388.0,24367.0,10.383333206176800,2.5955474376678500,700.82275390625,2812.0,19.0
14665389820,"Apr 4, 2025, 8:03:43 PM",Afternoon Ride,Ride,9726,7397.0,16337.900390625,6.739999771118160,2.2087197303772000,476.4140930175780,2357.0,10.0
14665389951,"Mar 23, 2025, 7:23:29 PM",Lunch Ride,Ride,3634,2760.0,8382.5,7.483333110809330,3.037137746810910,161.34524536132800,968.0,22.0
14665389960,"Mar 9, 2025, 8:05:52 PM",Afternoon Ride,Ride,5176,4356.0,13610.2998046875,8.566666603088380,3.124495029449460,199.58563232421900,1437.0,21.0
14665389974,"Mar 10, 2025, 9:08:15 PM",Afternoon Ride,Ride,8814,8097.0,21899.099609375,8.800000190734860,2.704594373703000,555.0368041992190,2307.0,18.0
14665389976,"Mar 22, 2025, 6:02:52 PM",Lunch Ride,Ride,6304,5429.0,13738.2001953125,8.779999732971190,2.5305213928222700,377.59857177734400,1651.0,20.0
14665389978,"Mar 8, 2025, 10:12:12 PM",Afternoon Ride,Ride,10878,9416.0,24269.19921875,10.279999732971200,2.5774426460266100,702.8616943359380,2850.0,16.0
14665389981,"Mar 15, 2025, 9:00:37 PM",Afternoon Ride,Ride,4918,4375.0,10237.099609375,8.633333206176760,2.3399085998535200,293.8132019042970,1242.0,17.0
14665389999,"Mar 5, 2025, 9:38:01 PM",Afternoon Ride,Ride,7594,6763.0,20716.0,11.140000343322800,3.0631377696991000,547.3790283203130,2045.0,16.0
14665390005,"Feb 26, 2025, 10:26:25 PM",Afternoon Ride,Ride,3826,2107.0,6840.7998046875,10.180000305175800,3.24670147895813,144.0914306640630,1390.0,25.0
